,Index,Variant,Location,Country Code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
175,75,Estimates,Togo,768,6.3344,6.4217,6.6518,6.937,7.1986,7.2768,7.0567,6.6222,6.0195,5.5448,5.3064,5.0358,4.6895
176,241,Estimates,Tonga,776,7.3,7.3,7.3,6.5,5.5,5.5,5.5,4.7363,4.615,4.2912,4.2278,4.0342,3.7886
177,196,Estimates,Trinidad and Tobago,780,5.3,5.3,5.04,3.81,3.45,3.24,3.28,2.75,2.18,1.82,1.75,1.8,1.7959
178,51,Estimates,Tunisia,788,6.65,6.85,6.99,6.92,6.385,5.65,4.82,4.0019,2.98,2.3435,2.04,2.0239,2.2521
179,131,Estimates,Turkey,792,6.6859,6.4959,6.2022,5.7996,5.3931,4.6948,4.1106,3.3874,2.8982,2.6477,2.3735,2.2018,2.121
180,91,Estimates,Turkmenistan,795,5.3,6.2,6.8,6.56,6.187,5.6,4.79,4.55,4.03,3.03,2.755,2.65,3.0
181,31,Estimates,Uganda,800,6.9,6.95,7.05,7.12,7.1,7.1,7.1,7.1,7.063,6.946,6.745,6.38,5.9126
182,145,Estimates,Ukraine,804,2.81,2.7,2.1346,2.0204,2.0789,1.9798,2.004,1.95,1.6208,1.2404,1.1455,1.3828,1.4889
183,132,Estimates,United Arab Emirates,784,6.97,6.97,6.87,6.77,6.45,5.75,5.3,4.9,3.925,2.97,2.4,1.97,1.82
184,157,Estimates,United Kingdom,826,2.18,2.49,2.81,2.57,2.01,1.73,1.775,1.835,1.775,1.735,1.655,1.8738,1.8781
185,32,Estimates,United Republic of Tanzania,834,6.74,6.801,6.8,6.79,6.75,6.73,6.55,6.36,6.05,5.75,5.66,5.579,5.2395
186,197,Estimates,United States Virgin Islands,850,5.2509,5.4926,5.6723,5.5225,4.6577,3.4884,2.9711,3.0216,2.7945,2.1936,2.1397,2.4359,2.3
187,223,Estimates,United States of America,840,3.311,3.5821,3.2336,2.5434,2.0294,1.7718,1.8044,1.9146,2.0297,1.9965,2.042,2.05,1.8765
188,219,Estimates,Uruguay,858,2.73,2.83,2.9,2.8,3.0,2.89,2.57,2.53,2.49,2.3,2.2,2.12,2.04
189,92,Estimates,Uzbekistan,860,5.3,5.9,6.5,6.4,6.1561,5.4649,4.8,4.4001,3.95,3.1,2.5126,2.49,2.38
190,233,Estimates,Vanuatu,548,7.6,7.35,7.0,6.46,6.11,5.75,5.4,5.04,4.83,4.59,4.11,3.63,3.4113
191,220,Estimates,Venezuela (Bolivarian Republic of),862,6.4585,6.4585,6.657,5.9045,4.941,4.4685,3.957,3.6485,3.25,2.9415,2.723,2.547,2.4047
192,114,Estimates,Viet Nam,704,5.3986,6.1636,6.4182,6.4649,6.3285,5.4993,4.6002,3.8497,3.2272,2.2493,1.9206,1.9279,1.9624
193,52,Estimates,Western Sahara,732,6.342,6.424,6.534,6.6,6.5732,6.234,5.3321,4.6,4.0,3.4,2.85,2.55,2.6
194,133,Estimates,Yemen,887,7.35,7.4,7.6,7.8,7.9,8.6,8.8,8.8,8.2,6.8,5.9,5.0,4.4
195,33,Estimates,Zambia,894,6.7,6.95,7.25,7.3,7.4,7.25,6.9,6.6,6.3,6.1,5.95,5.6,5.2
196,34,Estimates,Zimbabwe,716,6.8,7.0,7.3,7.4,7.4,7.3,6.74,5.656,4.773,4.2,4.0,4.0,4.0
