,Index,Variant,Location,Country Code,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
99,55,High variant,Lesotho,426,3.2634,3.2095,3.1436,3.0106,2.8955,2.7983,2.7098,2.6351,2.5704,2.5108,2.465,2.4267,2.3951,2.3725,2.3544,2.3421,2.3321
100,68,High variant,Liberia,430,4.7306,4.5622,4.3762,4.1237,3.9048,3.7155,3.5513,3.4074,3.2774,3.1676,3.0644,2.9695,2.8827,2.8005,2.7264,2.6559,2.5956
101,48,High variant,Libya,434,2.4579,2.4585,2.4448,2.3625,2.3078,2.2764,2.2597,2.2538,2.2532,2.258,2.2634,2.2693,2.2755,2.2821,2.2866,2.2928,2.2975
102,154,High variant,Lithuania,440,1.9105,2.109,2.2458,2.273,2.2941,2.3114,2.3242,2.3343,2.3428,2.3487,2.3529,2.3572,2.3612,2.3643,2.3648,2.3667,2.3682
103,176,High variant,Luxembourg,442,1.8443,2.0305,2.1594,2.1822,2.2013,2.2173,2.2301,2.2413,2.2487,2.257,2.2633,2.2679,2.2715,2.276,2.2788,2.2826,2.2844
104,21,High variant,Madagascar,450,4.3585,4.2456,4.1135,3.9051,3.7258,3.5703,3.4316,3.3104,3.1994,3.1012,3.012,2.9243,2.8459,2.772,2.7031,2.6435,2.5842
105,22,High variant,Malawi,454,4.7423,4.5497,4.3473,4.0869,3.8632,3.6691,3.4989,3.3517,3.2192,3.1027,2.9971,2.8989,2.8088,2.7264,2.6492,2.5857,2.5316
106,108,High variant,Malaysia,458,2.2605,2.3286,2.3642,2.3142,2.2796,2.2561,2.2441,2.2384,2.2365,2.2387,2.243,2.2473,2.2535,2.261,2.2669,2.2716,2.2785
107,99,High variant,Maldives,462,2.275,2.2724,2.2689,2.2096,2.1863,2.188,2.1982,2.2097,2.2229,2.2334,2.2445,2.2539,2.2643,2.273,2.2802,2.2867,2.2929
108,69,High variant,Mali,466,6.1715,5.8639,5.5129,5.0777,4.6739,4.3072,3.9866,3.7182,3.4897,3.3059,3.1487,3.0122,2.898,2.794,2.7059,2.6321,2.5682
109,164,High variant,Malta,470,1.7247,1.9239,2.0678,2.1056,2.1371,2.1639,2.1863,2.2063,2.2227,2.2379,2.2492,2.2593,2.2685,2.2763,2.282,2.2885,2.2944
110,192,High variant,Martinique,474,2.1309,2.2388,2.3171,2.3041,2.2984,2.2933,2.2916,2.2953,2.2975,2.2999,2.3047,2.3084,2.3106,2.3132,2.3172,2.3195,2.3229
