,Index,Variant,Location,Country Code,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
63,239,Momentum,French Polynesia,258,2.076185,2.076475,2.076735,2.07695,2.07712,2.07725,2.07736,2.077435,2.077475,2.077495,2.077515,2.07751,2.0775,2.077495,2.077495,2.07749,2.07748
64,43,Momentum,Gabon,266,2.25892,2.260875,2.26268,2.26432,2.2658,2.26709,2.268195,2.26909,2.26982,2.270375,2.270755,2.270955,2.27103,2.27097,2.27081,2.270535,2.270225
65,64,Momentum,Gambia,270,2.375325,2.377315,2.379035,2.38047,2.381665,2.382595,2.38334,2.383855,2.38419,2.38435,2.384375,2.384265,2.384035,2.38373,2.383345,2.38291,2.382435
66,120,Momentum,Georgia,268,2.1194,2.117255,2.115185,2.113085,2.11092,2.11126,2.111565,2.111825,2.11206,2.11226,2.11244,2.112585,2.112725,2.11285,2.112965,2.11307,2.11315
67,175,Momentum,Germany,276,2.07495,2.07526,2.07544,2.075575,2.075645,2.07569,2.075715,2.075715,2.075725,2.075715,2.07572,2.075715,2.07572,2.07572,2.075715,2.07572,2.075715
68,65,Momentum,Ghana,288,2.36674,2.365935,2.365345,2.36494,2.36468,2.36457,2.364565,2.364665,2.36482,2.365065,2.36537,2.36571,2.366075,2.366475,2.3669,2.36734,2.367795
69,162,Momentum,Greece,300,2.0834,2.08375,2.084,2.084165,2.08427,2.084325,2.08435,2.084345,2.084345,2.08434,2.08434,2.084335,2.084325,2.08433,2.084325,2.084325,2.084325
70,188,Momentum,Grenada,308,2.09631,2.096185,2.096175,2.09624,2.09636,2.096505,2.09669,2.09688,2.09709,2.09729,2.0975,2.097725,2.097935,2.098155,2.09836,2.098575,2.09879
71,189,Momentum,Guadeloupe,312,2.066825,2.06698,2.067095,2.067195,2.06724,2.067285,2.06732,2.067325,2.067335,2.067335,2.067335,2.06732,2.06732,2.06731,2.067305,2.0673,2.067295
72,235,Momentum,Guam,316,2.09193,2.092205,2.092435,2.09266,2.09284,2.092995,2.09313,2.09323,2.09332,2.093385,2.093425,2.09346,2.093475,2.09349,2.093495,2.093495,2.093495
73,202,Momentum,Guatemala,320,2.15536,2.155435,2.15555,2.15569,2.15588,2.1561,2.156345,2.1566,2.15685,2.15711,2.15738,2.157635,2.157875,2.158105,2.15834,2.15854,2.158745
74,66,Momentum,Guinea,324,2.460405,2.46079,2.46119,2.46163,2.46208,2.462545,2.46301,2.463495,2.463975,2.464475,2.46501,2.465555,2.466135,2.46674,2.46737,2.468025,2.46871
75,67,Momentum,Guinea-Bissau,624,2.510865,2.50972,2.50881,2.50813,2.50762,2.50727,2.507075,2.50704,2.507145,2.507365,2.50771,2.50818,2.508735,2.509405,2.510185,2.51104,2.51199
76,215,Momentum,Guyana,328,2.173855,2.174265,2.17483,2.175525,2.17632,2.17715,2.177995,2.178825,2.179625,2.180395,2.18111,2.181775,2.182385,2.182935,2.18344,2.183895,2.184305
77,190,Momentum,Haiti,332,2.372405,2.37122,2.370215,2.3694,2.368775,2.368345,2.368095,2.36798,2.368005,2.368135,2.36836,2.36866,2.369,2.369405,2.369815,2.370265,2.370705
78,203,Momentum,Honduras,340,2.175765,2.1758,2.17602,2.176395,2.176875,2.177415,2.178,2.17859,2.179175,2.179755,2.18031,2.18084,2.181325,2.1818,2.18222,2.182615,2.18297
79,139,Momentum,Hungary,348,2.081435,2.08196,2.082325,2.082575,2.08273,2.082825,2.082875,2.082885,2.08289,2.082895,2.08289,2.082895,2.08289,2.082885,2.082895,2.08289,2.082885
80,151,Momentum,Iceland,352,2.06531,2.0655,2.06564,2.06574,2.06581,2.06587,2.0659,2.06592,2.065915,2.065905,2.06589,2.06588,2.06585,2.065825,2.065795,2.06577,2.06574
81,97,Momentum,India,356,2.288115,2.283655,2.278405,2.27234,2.26657,2.26222,2.26306,2.26398,2.26491,2.265865,2.266835,2.26778,2.268715,2.269635,2.270535,2.271435,2.272305
82,106,Momentum,Indonesia,360,2.15576,2.155925,2.156185,2.15654,2.156935,2.15736,2.157805,2.15824,2.15867,2.159085,2.15949,2.15987,2.16023,2.16057,2.160885,2.16117,2.161445
83,98,Momentum,Iran (Islamic Republic of),364,2.10504,2.105345,2.105575,2.105785,2.10597,2.10613,2.10628,2.106415,2.106535,2.106635,2.106725,2.1068,2.106875,2.10693,2.10699,2.10703,2.107085
84,121,Momentum,Iraq,368,2.184045,2.182995,2.18213,2.18143,2.18087,2.180435,2.180125,2.17992,2.17981,2.17981,2.17989,2.18005,2.1803,2.18061,2.181005,2.18145,2.181945
85,152,Momentum,Ireland,372,2.078725,2.068635,2.068625,2.068635,2.06863,2.068635,2.068635,2.068635,2.06863,2.068625,2.06864,2.068635,2.068635,2.068635,2.068635,2.068635,2.06863
86,122,Momentum,Israel,376,2.06966,2.069845,2.070025,2.07017,2.070305,2.07042,2.07051,2.07058,2.070635,2.07065,2.070665,2.07065,2.070625,2.070595,2.07055,2.07049,2.070435
87,163,Momentum,Italy,380,2.078145,2.078295,2.07839,2.078465,2.078515,2.078545,2.07856,2.078555,2.07855,2.078555,2.078555,2.078545,2.07855,2.078555,2.078555,2.07855,2.07855
88,191,Momentum,Jamaica,388,2.116845,2.1176,2.118455,2.119275,2.12001,2.120665,2.12125,2.121765,2.122205,2.122595,2.122925,2.123215,2.123455,2.12367,2.12386,2.124025,2.124165
89,83,Momentum,Japan,392,2.07271,2.073005,2.073215,2.07335,2.073445,2.0735,2.07353,2.07353,2.073535,2.073525,2.073525,2.07354,2.07353,2.07354,2.073535,2.07353,2.073535
90,123,Momentum,Jordan,400,2.11839,2.11832,2.118275,2.11825,2.11826,2.118265,2.11829,2.118335,2.11838,2.11843,2.118485,2.118545,2.118615,2.11867,2.11874,2.118805,2.11886
91,88,Momentum,Kazakhstan,398,2.12146,2.12261,2.12369,2.124675,2.125555,2.126335,2.126975,2.127495,2.12791,2.128195,2.12839,2.1285,2.128545,2.128525,2.12847,2.12837,2.128255
92,20,Momentum,Kenya,404,2.234085,2.23305,2.232175,2.23146,2.230915,2.230515,2.23028,2.23018,2.230225,2.230395,2.230685,2.231075,2.231575,2.232135,2.232775,2.233465,2.234195
93,236,Momentum,Kiribati,296,2.22608,2.215465,2.215645,2.215785,2.21592,2.21603,2.21611,2.21616,2.2162,2.21622,2.216225,2.216205,2.216185,2.21615,2.216105,2.21604,2.21597
94,124,Momentum,Kuwait,414,2.0789,2.078925,2.07895,2.07897,2.078995,2.079015,2.07904,2.079055,2.07907,2.07909,2.079095,2.0791,2.079115,2.07912,2.079125,2.079125,2.07913
95,89,Momentum,Kyrgyzstan,417,2.12568,2.12611,2.126535,2.126945,2.12734,2.12771,2.128065,2.128375,2.128665,2.12892,2.12914,2.12933,2.12948,2.129605,2.1297,2.129765,2.12982
96,107,Momentum,Lao People's Democratic Republic,418,2.24852,2.24702,2.24612,2.245745,2.24583,2.24628,2.246995,2.247895,2.248935,2.250055,2.251235,2.252425,2.253615,2.254775,2.2559,2.25697,2.25799
97,153,Momentum,Latvia,428,2.08635,2.087105,2.08755,2.087815,2.08798,2.088065,2.088115,2.08812,2.08813,2.08812,2.08812,2.08812,2.088115,2.08812,2.08812,2.08812,2.088115
98,125,Momentum,Lebanon,422,2.08695,2.087155,2.08723,2.087275,2.087315,2.08733,2.087355,2.08737,2.087375,2.087385,2.08739,2.0874,2.087405,2.087415,2.08743,2.08744,2.08745
99,55,Momentum,Lesotho,426,2.40128,2.396315,2.392535,2.38993,2.388345,2.38772,2.387935,2.388855,2.390405,2.392485,2.39499,2.397825,2.40096,2.404315,2.40784,2.41141,2.41504
100,68,Momentum,Liberia,430,2.39124,2.38941,2.38801,2.387,2.386325,2.38596,2.38584,2.385955,2.3863,2.386815,2.38752,2.388375,2.389355,2.39047,2.391675,2.39294,2.394305
101,48,Momentum,Libya,434,2.14638,2.14616,2.14581,2.145395,2.144955,2.144555,2.14418,2.14385,2.143575,2.143345,2.14315,2.143,2.14287,2.142775,2.14268,2.142615,2.142545
102,154,Momentum,Lithuania,440,2.0795,2.080225,2.080685,2.08095,2.0811,2.081175,2.081235,2.081265,2.081285,2.081285,2.081295,2.08129,2.081285,2.08129,2.081285,2.08129,2.08128
103,176,Momentum,Luxembourg,442,2.06431,2.0646,2.06479,2.06491,2.06499,2.06503,2.065045,2.06505,2.065055,2.065045,2.065045,2.065055,2.06505,2.065045,2.06505,2.065055,2.06505
104,21,Momentum,Madagascar,450,2.24851,2.247435,2.246605,2.245965,2.245525,2.24527,2.245165,2.245205,2.2454,2.24573,2.246175,2.246715,2.247375,2.24815,2.249025,2.24997,2.251015
105,22,Momentum,Malawi,454,2.317975,2.314575,2.31192,2.30989,2.308415,2.30736,2.30674,2.306475,2.306525,2.306865,2.30746,2.30829,2.30933,2.31054,2.31189,2.313375,2.31496
106,108,Momentum,Malaysia,458,2.0941,2.094175,2.09421,2.094215,2.094205,2.094185,2.09415,2.09412,2.094085,2.09406,2.094025,2.094005,2.09398,2.09396,2.09395,2.093935,2.09392
107,99,Momentum,Maldives,462,2.10177,2.097855,2.096825,2.095635,2.093135,2.0932,2.09325,2.093325,2.093395,2.09345,2.09352,2.093585,2.093655,2.09372,2.09379,2.09385,2.093925
108,69,Momentum,Mali,466,2.55725,2.556985,2.55684,2.556795,2.556825,2.556915,2.55705,2.55723,2.55745,2.55772,2.55804,2.55845,2.558955,2.55954,2.560245,2.561055,2.561975
109,164,Momentum,Malta,470,2.078135,2.078365,2.078525,2.07863,2.07869,2.07872,2.07874,2.078745,2.07875,2.07874,2.078745,2.07875,2.078745,2.07874,2.07875,2.07875,2.078745
110,192,Momentum,Martinique,474,2.068265,2.068475,2.06863,2.06874,2.06881,2.068855,2.068885,2.068895,2.0689,2.068895,2.06888,2.06888,2.06887,2.068855,2.06884,2.068835,2.068825
111,70,Momentum,Mauritania,478,2.36267,2.36215,2.361665,2.361215,2.36082,2.360455,2.360145,2.35988,2.359655,2.359475,2.35933,2.35924,2.359175,2.35915,2.35917,2.359205,2.35927
112,23,Momentum,Mauritius,480,2.08629,2.086845,2.08734,2.08778,2.08816,2.08847,2.088715,2.08893,2.0891,2.089235,2.08934,2.089425,2.089485,2.089545,2.089575,2.0896,2.089615
113,24,Momentum,Mayotte,175,2.050175,2.050175,2.05015,2.050125,2.05011,2.050075,2.05004,2.050015,2.049985,2.04995,2.04992,2.049895,2.049875,2.04984,2.04982,2.0498,2.049785
114,204,Momentum,Mexico,484,2.10999,2.110075,2.11027,2.11053,2.11082,2.11112,2.11142,2.11172,2.11201,2.11229,2.11256,2.11282,2.11305,2.11329,2.113495,2.113695,2.113875
115,237,Momentum,Micronesia (Fed. States of),583,2.206315,2.195755,2.195875,2.19597,2.19604,2.196095,2.196115,2.19611,2.196095,2.19607,2.196025,2.195975,2.195925,2.195865,2.195815,2.195755,2.195695
116,84,Momentum,Mongolia,496,2.107905,2.10868,2.109405,2.110075,2.110655,2.111145,2.11155,2.111865,2.11209,2.112235,2.11231,2.112345,2.112325,2.11228,2.1122,2.112105,2.11199
